id_cliente,salario_neto
1,3737.99
2,1587.54
3,2462.6
4,2281.24
5,4077.65
6,3868.45
7,4622.63
8,1804.29
9,2976.73
10,1604.29
11,2265.23
12,3268.74
13,1592.88
14,2195.93
15,3774.6
16,3407.3
17,2271.54
18,3562.43
19,4333.01
20,1522.75
21,4320.37
22,3943.49
23,2690.88
24,2044.18
25,4850.25
26,2678.08
27,1824.61
28,1838.51
29,4466.23
30,3613.04
31,4324.95
32,4054.06
33,3376.8
34,4905.91
35,2824.87
36,3432.14
37,4402.92
38,3664.82
39,4515.97
40,3520.73
41,3966.0
42,1660.39
43,2297.64
44,2512.86
45,1779.27
46,2314.77
47,1853.51
48,2472.91
49,3724.9
50,2776.91
51,2795.63
52,2233.27
53,2434.42
54,4778.29
55,3768.12
56,3631.96
57,2098.99
58,4051.94
59,2071.91
60,2828.09
61,4963.33
62,3740.0
63,3449.32
64,3896.15
65,4449.98
66,4216.0
67,2301.67
68,1612.35
69,2604.09
70,2437.09
71,2238.44
72,4800.18
73,4567.29
74,2601.37
75,3794.04
76,2884.71
77,4700.92
78,3105.98
79,2427.08
80,2363.2
81,3464.79
82,2419.6
83,3546.05
84,4642.38
85,2897.9
86,2267.62
87,4991.38
88,3283.34
89,1818.18
90,1664.91
91,1883.77
92,3696.06
93,4272.28
94,2977.56
95,1722.35
96,2835.67
97,4986.42
98,3351.9
99,4898.77
100,4512.73
