id_cliente,salario_neto,capital_pendiente,interes_anual,cuota_mensual,dti,clasificacion
1,3737.99,7238.8,5.88,51.36,0.01374000465490812,Performing
2,1587.54,137933.52,5.15,921.77,0.5806278896909685,Watchlist
3,2462.6,57030.91,5.5600000000000005,394.24,0.1600909607731666,Performing
4,2281.24,26752.67,4.74,172.74,0.07572197576756502,Performing
5,4077.65,93476.12,6.82,714.65,0.17526026019888905,Performing
6,3868.45,175791.32,4.05,1069.9,0.27657071953883344,Performing
7,4622.63,102614.29,3.71,606.25,0.13114828571613996,Performing
8,1804.29,182962.43,6.48,1361.97,0.7548509385963454,Watchlist
9,2976.73,63196.73,5.5600000000000005,436.87,0.14676171503629823,Performing
10,1604.29,123749.19,3.61,724.71,0.45173254212143693,Watchlist
11,2265.23,153689.61,5.16,1027.92,0.4537817351880383,Watchlist
12,3268.74,156832.16,5.12,1045.45,0.3198327184174942,Performing
13,1592.88,5111.52,4.3,31.79,0.019957561147104615,Performing
14,2195.93,8797.96,6.72,66.74,0.030392589927729936,Performing
15,3774.6,176350.77,6.33,1297.23,0.34367350182800827,Performing
16,3407.3,64965.25,3.23,367.82,0.10795057670296128,Performing
17,2271.54,176211.87,6.79,1344.05,0.5916910994303424,Watchlist
18,3562.43,21702.42,4.94,142.51,0.04000359305305648,Performing
19,4333.01,18496.44,6.04,132.94,0.030680750794482355,Performing
20,1522.75,154337.71,3.51,895.89,0.5883368904941717,Watchlist
21,4320.37,97680.06,5.2,655.49,0.15172080169059596,Performing
22,3943.49,56686.04,6.49,422.3,0.10708788408237374,Performing
23,2690.88,87511.9,3.85,523.41,0.19451257581163037,Performing
24,2044.18,110162.74,5.92,784.16,0.3836061403594595,Performing
25,4850.25,44224.46,4.25,273.85,0.05646100716457915,Performing
26,2678.08,199054.12,5.6,1380.53,0.5154924423467558,Watchlist
27,1824.61,90429.52,5.07,600.3,0.32900181408629786,Performing
28,1838.51,28595.82,3.9,171.78,0.09343435716966457,Performing
29,4466.23,70926.68,5.35,481.91,0.10790084702310451,Performing
30,3613.04,49872.37,3.88,299.07,0.08277516993999513,Performing
31,4324.95,18843.65,5.52,129.84,0.030021156313945828,Performing
32,4054.06,49643.65,6.62,373.65,0.0921668648219316,Performing
33,3376.8,172628.9,3.2800000000000002,981.77,0.2907397536128879,Performing
34,4905.91,51410.9,5.68,358.9,0.07315666206677253,Performing
35,2824.87,46776.18,3.5300000000000002,272.0,0.09628761677528523,Performing
36,3432.14,187425.28,5.28,1266.1,0.3688952082374262,Performing
37,4402.92,97170.85,6.14,704.03,0.15990070226122663,Performing
38,3664.82,162461.91,3.76,964.06,0.263057940089827,Performing
39,4515.97,23901.51,4.72,154.07,0.03411670139527056,Performing
40,3520.73,87597.83,4.87,571.83,0.16241802126263588,Performing
41,3966.0,147169.79,5.69,1028.22,0.2592586989409985,Performing
42,1660.39,196912.22,3.39,1130.91,0.6811110642680335,Watchlist
43,2297.64,83511.15,4.36,522.04,0.22720704723107188,Performing
44,2512.86,173026.14,3.99,1047.59,0.4168915100721886,Watchlist
45,1779.27,42090.74,4.79,272.92,0.15338874931854077,Performing
46,2314.77,87266.92,4.11,533.89,0.23064494528614074,Performing
47,1853.51,53712.26,6.69,406.49,0.21930823140959585,Performing
48,2472.91,91410.5,6.45,678.84,0.2745105968272198,Performing
49,3724.9,112313.44,3.2,634.19,0.17025691964884965,Performing
50,2776.91,199860.08,6.34,1471.34,0.5298479244916112,Watchlist
51,2795.63,193954.27,6.71,1470.15,0.5258743109782053,Watchlist
52,2233.27,170495.67,3.67,1003.76,0.4494575219297264,Watchlist
53,2434.42,99700.02,3.85,596.31,0.24494951569573037,Performing
54,4778.29,83202.86,3.23,471.08,0.0985875700302828,Performing
55,3768.12,78899.76,6.94,608.87,0.16158455675509273,Performing
56,3631.96,56714.6,6.14,410.91,0.11313725922091654,Performing
57,2098.99,93726.63,4.69,602.62,0.2870999861838313,Performing
58,4051.94,191676.94,6.98,1483.77,0.3661875546034739,Performing
59,2071.91,113374.82,5.87,803.77,0.38793673470372747,Performing
60,2828.09,35185.38,4.19,216.76,0.07664536842886895,Performing
61,4963.33,193898.33,5.32,1314.17,0.26477586620273086,Performing
62,3740.0,110728.06,5.99,792.65,0.2119385026737968,Performing
63,3449.32,16147.23,5.34,109.62,0.03178017696241578,Performing
64,3896.15,103055.82,6.41,762.91,0.19581124956688012,Performing
65,4449.98,35699.38,6.84,273.36,0.061429489570739654,Performing
66,4216.0,20621.74,3.74,122.16,0.028975332068311193,Performing
67,2301.67,121031.85,5.7,846.29,0.3676852024834142,Performing
68,1612.35,50864.76,3.48,294.47,0.18263404347691262,Performing
69,2604.09,178606.03,3.98,1080.44,0.4149011746905829,Watchlist
70,2437.09,120931.23,5.48,830.51,0.34077937212002835,Performing
71,2238.44,86748.86,5.33,588.44,0.26287950536981114,Performing
72,4800.18,106942.63,6.74,812.52,0.16926865242553402,Performing
73,4567.29,44830.54,5.86,317.57,0.0695313851321024,Performing
74,2601.37,51543.76,4.58,328.32,0.1262104198941327,Performing
75,3794.04,135979.59,4.2,838.41,0.2209808014675649,Performing
76,2884.71,66654.55,6.01,477.92,0.16567349924255817,Performing
77,4700.92,19145.91,4.83,124.56,0.026496941024310137,Performing
78,3105.98,199698.62,6.98,1545.86,0.4977044282319912,Watchlist
79,2427.08,19285.84,3.85,115.35,0.047526245529607596,Performing
80,2363.2,56714.08,6.73,430.56,0.18219363574813813,Performing
81,3464.79,176768.51,6.52,1320.02,0.38098124273043965,Performing
82,2419.6,77057.78,3.63,452.07,0.18683666721772194,Performing
83,3546.05,167580.27,5.8100000000000005,1182.3,0.33341323444395876,Performing
84,4642.38,124277.16,6.95,959.79,0.20674524705000452,Performing
85,2897.9,132525.38,3.03,736.97,0.25431174298630044,Performing
86,2267.62,164335.31,4.2,1013.24,0.44682971573720465,Watchlist
87,4991.38,134360.8,6.76,1022.43,0.20483914268198372,Performing
88,3283.34,31186.77,3.46,180.23,0.05489227433040744,Performing
89,1818.18,25872.02,5.21,173.76,0.09556809556809556,Performing
90,1664.91,58107.9,5.42,397.1,0.23851139100612045,Performing
91,1883.77,144934.38,3.81,863.83,0.458564474431592,Watchlist
92,3696.06,128676.4,4.06,783.83,0.212071773726617,Performing
93,4272.28,100263.71,6.62,754.64,0.17663636278521072,Performing
94,2977.56,169990.22,3.37,974.56,0.3273015489192493,Performing
95,1722.35,87597.28,4.11,535.91,0.31115046303016225,Performing
96,2835.67,5691.41,6.08,41.04,0.014472770103714465,Performing
97,4986.42,129237.11,4.05,786.56,0.15774042298883767,Performing
98,3351.9,149540.03,5.21,1004.33,0.29963006056266595,Performing
99,4898.77,88398.95,3.04,492.03,0.10043949807808898,Performing
100,4512.73,19672.55,6.53,147.02,0.03257894888459979,Performing
